Name,Price,Category,Energie,Joules,Vetten,Waarvan verzadigd,Koolhydraten,Waarvan suikers,Vezels,Eiwitten,Zout,Vitamine C,Kalium,- waarvan verzadigde vetzuren,- waarvan suikers,Voedingsvezel,-waarvan verzadigde vetzuren,-waarvan suikers,Energie kJ,kcal,Energie  kJ,Voedingsvezels,energie,vezel,vezels,Vitamine K,Vezel,vetten,verzadigde vetzuren,koolhydraten,waarvan suikers,eiwitten,zout,vezels:,Energie:,-waarvan verzadigde vetzuren:,-waarvan suikers:,energie:,- waarvan verzadigde vetzuren:,- waarvan suikers:,Vezels:,waarvan verzadigde vetzuren,Ijzer,Zink,Vitamine B12,Energie kJ/kcal,- verzadigde vetzuren,- suiker,(waarvan meervoudig onverzadigd),vetten:,waarvan verzadigde vetzuren:,koolhydraten:,waarvan suikers:,eiwitten:,zout:,Calcium,-waarvan verzadigd,omega 3 vetzuren,voedingsvezels,Energiewaarde,waarvan verzadigd,- waarvan: Verzadigde vetzuren,- waarvan: Suikers,- waarvan verzadigd,vitamine B12,zink,Waarvan meervoudig onverzadigde vetzuren,"Vetzuren, enkelvoudig onverzadigd",Omega 3 vetzuren,Energie kcal,- waarvan meervoudig onverzadigde vetzuren,Transvetzuren,Omega-3-Vetzuren,- Verzadigd,- Suikers,Energetische waarde,ProteÃ¯nen,- Waarvan verzadigd,- Waarvan suikers,Vitamine,Energie :,-waarvan verzadigde vetzuren :,-waarvan suikers :,Voedingsvezels :,-Waarvan verzadigde vetten,-Waarvan suikers,- Energie:,- Vet:,- Waarvan verzadigd:,- Koolhydraten:,- Waarvan suikers:,- Vezels:,- Eiwit:,- Zout:,- Meervoudig onverzadigde vetzuren,waarvan:,Voedingvezels,-meervoudig onverzadigde vetzuren,Vitamine A,- Waarvan suiker:,Energie (kJ/kcal),waarvan onverzadigd,Energiewaarde:,waaronder onverzadigde vetzuren:,Voedingsvezels:,• enkelvoudig onverzadigde vetzuren,• meervoudig onverzadigde vetzuren,"Vetzuren, meervoudig onverzadigd",Polyolen,Zetmeel,"Organische zuren, totaal",Sodium,Cholesterol (analysemethode onbekend of variërend),Alcohol,Magnesium,Voedingsezel,Vitamine B3,- Waarvan verzadigde vetzuren,voedingsvezel,waarvan enkelvoudig onverzadigde vetzuren,waarvan meervoudig onverzadigde vetzuren,Waarvan: verzadigd vetzuren,voedingvezels,"Vetten, waarvan",Energie (kJ),Energie (kcal),Vet (g),waarvan verzadigd (g),Koolhydraten (g),waarvan suikers (g),Vezel (g),Eiwitten (g),Zout (g),Vitamine B1,Omega 3 (a-linoleenzuur),energie (kJ),energie (kcal),Energy,Carbohydrate,Fibre,CalorieÃ«n,Vezels (g),- Vetten:,- Eiwitten:,-  waarvan suikers,Riboflavine,- waarvan verzadigd:,energie kJ (kcal):,waarvan verzadigde vrtzuren,Energie: kJ/kcal,Energie /,davon gesÃ¤ttigte FettsÃ¤uren,Ballaststoffe,enkelvoudig onverzadigde vetzuren,meervoudig onverzadigde vetzuren,-waarvan verzadigd vet,"31,0 g",Natrium,Energie : kJ/kcal,EiweiÃ?,Calorische waarde,Waarvan onverzadigd,-Waarvan verzadigd,Energetische waarde:,- waarvan verzadigd vet,waarvan zetmeel,enkelvoudig onverz.,meervoudig onverz.,Cholesterol,enkelvoudig onvz.,meervoudig onvz.,ProteÃ¯ne,- Waarvan Suikers,Energie kJ/kcal:,Énergie,Matières grasses,Glucides,Vet,- Verzadigd vet,- Suikers totaal,-Verzadigde vetten,-Suikers,Energy:,Protein::,Fosfor,-waarvan verzadigd vet:,Eiwittens,Vitamine B2,Calcium 120,Vitamine B6,Vitamine B11,Vitamine D,Vitamine E,Omega-3-vetzuren (alfa-linoleenzuur),Omega-6-vetzuren (linolzuur),Vitamine B2 (riboflavine),- enkelv. onverzadigd,- meerv. onverzadigd,omega 3,(uitgezonderd plantensterolen^2),Eiwit (proteÃ¯ne),Vitamine (B2) (riboflavine),enkelvoudig onverzadigde,meervoudig onverzadigde,- verzadigde,- enkelvoudig onverzadigde,- meervoudig onverzadigde,Foliumzuur,Omega 3 (alfa-linoleenzuur),Omega 6 (linolzuur),- waarvan verzadigde,- suikers,Omega 3 vetzuren waarvan: Omega 3 (alfa-linoleenzuur),EPA en DHA (vetzuren uit vis).,- enkelvoudig onverzadigde vetzuren,- meervoudig onverzadigde vetzuren,vitamine A,vitamine D2,vitamine E,onverzadigde,Omega 3 (?-linoleenzuur),Vitamine D (µg),Vitamine B6 (mg),- D,- B12,enkelv onverzadigd,meerv onverzadigd,Omega 3 vetzuur,Jodium,- riboflavine (B2),- calcium,enkvoudig onverzadigde,meervoudige onverzadigde,"Vetten (g), waarvan",- Verzadigde (g),- Enkelv onverzadigde (g),- Meerv onverzadigde (g),"Koolhydraten (g),",- Waarvan suikers (g),Vitamine (B1) (mg),- E,waarvan  suikers,-verzadigde,-enkelvoudig onverzadigde,-meervoudig onverzadigde,Energie [kJ],Energie [kcal],Vezels [g],Vitaminen,Vitamine A [µg],Vitamine D [µg],Vitamine E [mg],Vitamine K [µg],Vitamine C [mg],Thiamine [mg],Riboflavine [mg],Niacine [mg],Vitamin B6 [mg],Foliumzuur [µg],Vitamine B12 [µg],Biotine [µg],Pantotheenzuur [mg],Kalium [mg],Chloride [mg],Fosfor [mg],Magnesium [mg],Ijzer [mg],Zink [mg],Koper [mg],Mangaan [mg],Seleen [µg],Chroom [µg],Molybdeen [µg],Jood [µg],Vitamine D2,• enkelvoudig onverzadigde,• meervoudig onverzadigde,• A,• D,Omega-3 (alfa-linoleenzuur),eiwit (proteÃ¯ne),vitamine B2 (riboflavine),vitamine B6,foliumzuur,vitamine D,- Vetten,- Koolhydraten,- Eiwitten,- Zout,- enkelvoudige onverzadigde,- meervoudige onverzadigde,waarvan enkelvoudig onverzadigd,waarvan meervoudig onverzadigd,- waarvan suikers**,"Vet, totaal",Vitamine E per portie (10 ml),- waarvan suikers†,waarvan verzadigde vetzuren**,-verzadigen,Foliumzuur (% DRI*),Lycopeen,"Vet, total",omega 3 (?-linoleenzuur):,Omega 6(linolzuur),Vitamine C:,Vetstoffen:,- waarvan verzadigd vet:,Voedingsvezel:,- waarvan Suikers,- onverzadigde vetzuren,- waarvan: suikers,Linoleenzuur (omega-3),Vetzuren,Omega-3-vetzuren,enkelvoudig onverzadigd,meervoudig onverzadigd,enkelvoudig onverzadigd:,meervoudig onverzadigd:,- Verzadigde vetzuren,- Enkelvoudig onverzadigde vetzuren,Kalium:,vetzuren,Rijk aan omega 3 (?-linoleenzuur):,- waarvan suikers***,enkelv. onverzadigd,meerv. onverzadigd,Gamma Oryzanol,Vitamine A (% DRI*),Vitamine B9,Foliumzuur (B11),-Verzadigde vetzuren,Omega 3,waarvan omega 3,Foliumzuur (%DRI*),Fibers,Enkelvoudig onverzadigde vetzuren,Meervoudig onverzadigde vetzuren,Alfa-linoleenzuur,Brennwert,Feet,davon Gesattige FettsÃ¤uren,Vezels g,Totaal vet:,Energie Kcal,- waarvan: verzadigde vetzuren,Energiewaarden,-waarvan suiker,Fiber
Jumbo Aardappelen Vastkokend 3kg,4.49,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbo Aardappelschijfjes 450g,0.99,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbo Aardappelschijfjes 600g,1.29,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbo Aardappelen Kruimig 3kg,4.49,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbo Aardappelen Kruimig 1kg,1.79,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbo Aardappelen Kruimig Extra Groot 5kg,5.49,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbo Krieltjes 500g,1.09,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbo Bistro Mini Krieltjes 600g,1.19,"aardappelen,-groente-en-fruit/aardappelen",344.0,81.0,0.1,0.1,17.3,0.7,2.3,1.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbo Mini Krieltjes 450g,0.95,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbo Mini Krieltjes Bistro 425g,1.03,"aardappelen,-groente-en-fruit/aardappelen",344.0,81.0,0.1,0.1,17.3,0.7,2.3,1.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
