Name,Category,Energie,Joules,Vetten,Waarvan verzadigd,Koolhydraten,Waarvan suikers,Vezels,Eiwitten,Zout,Vitamine C,Kalium,-waarvan verzadigde vetzuren,-waarvan suikers,Voedingsvezel,Energie kJ,kcal,- waarvan verzadigde vetzuren,- waarvan suikers,Energie  kJ,Voedingsvezels,energie,vezel
Jumbo Aardappelen Vastkokend 3kg,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Jumbo Aardappelen Kruimig 1kg,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Jumbo Aardappelen Kruimig 3kg,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Jumbo Aardappelschijfjes 450g,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,
Jumbo Aardappelschijfjes 600g,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,
Jumbo Bistro Mini Krieltjes 600g,"aardappelen,-groente-en-fruit/aardappelen",344.0,81.0,0.1,0.1,17.3,0.7,2.3,1.8,0.3,,,,,,,,,,,,,
Jumbo Aardappelen Kruimig Extra Groot 3kg,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Jumbo Mini Krieltjes 450g,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,
Jumbo Aardappelen Kruimig Extra Groot 5kg,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Jumbo Mini Krieltjes Bistro 425g,"aardappelen,-groente-en-fruit/aardappelen",344.0,81.0,0.1,0.1,17.3,0.7,2.3,1.8,0.3,,,,,,,,,,,,,
Jumbo Mini Krieltjes 600g,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,
Jumbo Krieltjes 500g,"aardappelen,-groente-en-fruit/aardappelen",337.0,80.0,0.0,0.0,17.0,0.4,2.2,1.8,0.05,,,,,,,,,,,,,
Jumbo Oven Hasselback Aardappelen 450g,"aardappelen,-groente-en-fruit/aardappelen",457.0,109.0,3.5,0.5,16.4,0.4,2.2,1.8,0.65,,,,,,,,,,,,,
Jumbo Vlaamse Frites 1kg,"aardappelen,-groente-en-fruit/aardappelen",521.0,124.0,2.5,0.4,22.0,0.3,2.1,2.2,0.07,,,,,,,,,,,,,
Jumbo Oven Frites 1kg,"aardappelen,-groente-en-fruit/aardappelen",619.0,147.0,5.4,0.6,21.5,0.4,1.8,2.3,0.28,,,,,,,,,,,,,
Jumbo Biologisch Aardappelen Vastkokend 2kg,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Jumbo Aardappelgratin met Kaas 425g,"aardappelen,-groente-en-fruit/aardappelen",630.0,151.0,10.6,2.3,10.2,1.6,1.5,3.0,1.13,,,,,,,,,,,,,
Jumbo Aardappelen Vastkokend 1kg,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Jumbo Aardappelen Zoet 1kg,"aardappelen,-groente-en-fruit/aardappelen",399.0,94.0,0.3,0.1,20.5,5.7,2.4,1.2,0.01,23.0,370.0,,,,,,,,,,,
Jumbo Texas BBQ Aardappelpartjes met Schil 450g,"aardappelen,-groente-en-fruit/aardappelen",344.0,81.0,0.1,0.1,17.1,0.5,2.3,1.9,0.29,,,,,,,,,,,,,
Jumbo Patat Frites 1kg,"aardappelen,-groente-en-fruit/aardappelen",531.0,126.0,3.1,0.4,21.0,0.4,2.5,2.3,0.1,,,,,,,,,,,,,
Jumbo Vastkokende Rode Aardappel 3kg,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
